"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3689","test-9","","Wed Jun 25 11:35:17 IST 2025","failed","Wed Jun 25 11:35:21 IST 2025","","login and client filter","",""
"","1070","Login attempt #3 with same credentials","","Wed Jun 25 11:35:03 IST 2025","passed","Wed Jun 25 11:35:04 IST 2025","","","",""
"","2232","techstack search bar working","","Wed Jun 25 11:36:40 IST 2025","passed","Wed Jun 25 11:36:42 IST 2025","","searchbar of techstack","",""
"","1694","Login attempt #1 with same credentials","","Wed Jun 25 11:35:00 IST 2025","passed","Wed Jun 25 11:35:02 IST 2025","","","",""
"","626","successfully Login or not","","Wed Jun 25 11:35:12 IST 2025","passed","Wed Jun 25 11:35:13 IST 2025","","login credebtials","",""
"","7246","verify status","","Wed Jun 25 11:35:30 IST 2025","failed","Wed Jun 25 11:35:37 IST 2025","","requirement status","",""
"","1185","Login attempt #5 with same credentials","","Wed Jun 25 11:35:06 IST 2025","passed","Wed Jun 25 11:35:07 IST 2025","","","",""
"","2554","should register a new user successfully","","Wed Jun 25 11:34:49 IST 2025","passed","Wed Jun 25 11:34:52 IST 2025","","Signup Test","",""
"","11641","login and search bar","","Wed Jun 25 11:36:21 IST 2025","failed","Wed Jun 25 11:36:33 IST 2025","","requirementsection","",""
"","1463","Login attempt #4 with same credentials","","Wed Jun 25 11:35:04 IST 2025","passed","Wed Jun 25 11:35:06 IST 2025","","","",""
"","1","Login","","Wed Jun 25 11:35:42 IST 2025","broken","Wed Jun 25 11:35:42 IST 2025","","partner and Login","",""
"","1324","visits Example Cypress Page","","Wed Jun 25 11:34:56 IST 2025","passed","Wed Jun 25 11:34:57 IST 2025","","Allure Sample Test","",""
"","3361","Login Page","","Wed Jun 25 11:36:13 IST 2025","failed","Wed Jun 25 11:36:16 IST 2025","","invite new team member","",""
"","1130","Login attempt #2 with same credentials","","Wed Jun 25 11:35:02 IST 2025","passed","Wed Jun 25 11:35:03 IST 2025","","","",""
"","2732","search bar working","","Wed Jun 25 11:35:48 IST 2025","passed","Wed Jun 25 11:35:50 IST 2025","","Partner and empaneled section search bar","",""
